Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"SanDisk Ultra 64GB microSDXC UHS-I, 140MB/s R, Class 10 Memory Card","Memory",1,16.45,"https://robu.in/product/sandisk-micro-sdxc-ush-i-64gb-class-10-memory-card/","robu"
"Audio Jack PJ311-3.5mm Female Connector Black","audio jack",2,0.12,"https://robu.in/product/audio-jack-pj311-3-5mm-female-connector-black/?gad_source=1&gad_campaignid=17427802703&gbraid=0AAAAADvLFWf-PRMRiFDA3RBzSYiPn-luu&gclid=Cj0KCQjws83OBhD4ARIsACblj1_FrFwrFW9x0fSjbhES5_gPyLBkjcfDah3aFoC8r3JJW_jHiCw9bdEaAme2EALw_wcB","robu"
"DFRobot DFPlayer -A Mini MP3 Player","sd card module",1,6.29,"https://robu.in/product/dfrobot-dfplayer-a-mini-mp3-player/?gad_source=1&gad_campaignid=17416544847&gbraid=0AAAAADvLFWdwM1vvz6EeMnZCndiSBGFvc&gclid=Cj0KCQjws83OBhD4ARIsACblj183rxmrJL1CV7mppW9-2a1zHD9oardr4hltE2q6rvaxTjO54WwGm5AaAvObEALw_wcB","robu"
"WLY602030 3.7V 300mAh 1S LiPo Battery – Micro Rechargeable Battery Pack for Wearables / Micro Drone / IoT","battery",1,1.87,"https://robu.in/product/300mah-pcm-protected-micro-li-po-battery/","robu"
"TP4056 Adjustable 1A Li-ion lithium Battery Charging Module with Overcurrent Protection – Type C Port or 5V DC Point for Input power, Output : 4.5-5.5V, Full charge voltage: 4.2V","charger",1,0.15,"https://robu.in/product/tp4056-1a-li-ion-lithium-battery-charging-module-with-current-protection-type-c/","robu"
"0.96 Inch I2C/IIC 4pin OLED Display Module Blue color","display",1,1.84,"https://robu.in/product/4pin-oled-display-module-blue-color/","robu"
"5 x 7 cm Universal PCB Prototype Board Double-Side – 2pcs","pcb",1,0.47,"https://robu.in/product/57-cm-universal-pcb-prototype-board-double-sided/","robu"
